week,year,crop,females,unmated_0eggs,mated,mated_15plus
1,2019,sorghum,4,4,0,0
2,2019,sorghum,9,3,6,3
3,2019,sorghum,7,2,5,2
4,2019,sorghum,8,2,6,2
5,2019,sorghum,14,3,11,9
6,2019,sorghum,15,4,11,6
7,2019,sorghum,10,4,6,2
1,2019,tomsorg,3,2,1,1
2,2019,tomsorg,9,3,6,3
3,2019,tomsorg,17,4,13,8
4,2019,tomsorg,15,9,6,5
5,2019,tomsorg,12,4,8,7
6,2019,tomsorg,16,5,11,4
7,2019,tomsorg,13,7,6,0
1,2019,tomato,20,9,11,9
2,2019,tomato,12,1,11,3
3,2019,tomato,14,3,11,5
4,2019,tomato,15,3,12,4
5,2019,tomato,21,8,13,8
6,2019,tomato,15,6,9,3
7,2019,tomato,7,7,0,0
1,2020,sorghum,1,1,0,0
2,2020,sorghum,13,6,7,3
3,2020,sorghum,65,17,48,25
4,2020,sorghum,14,2,12,6
5,2020,sorghum,10,1,8,5
6,2020,sorghum,12,1,11,8
7,2020,sorghum,7,2,5,4
1,2020,tomsorg,0,0,2,0
2,2020,tomsorg,6,2,4,3
3,2020,tomsorg,2,1,1,0
4,2020,tomsorg,4,1,3,1
5,2020,tomsorg,5,2,3,1
6,2020,tomsorg,8,4,4,0
7,2020,tomsorg,9,8,1,0
1,2020,tomato,3,2,1,1
2,2020,tomato,5,1,4,3
3,2020,tomato,1,0,1,0
4,2020,tomato,4,2,2,2
5,2020,tomato,4,0,2,1
6,2020,tomato,6,6,0,0
7,2020,tomato,7,4,2,2
