Date,Row,Section,Specimen,Species,Mated,Eggs ,Sex
5/27/2020,O,,1,NV,Y,8,F
5/27/2020,O,,2,NV,Y,12,F
5/27/2020,O,,3,T,N,47,F
6/3/2020,O,II,1,EO,Y,18,F
6/10/2020,O,I,1,NV,Y,99,F
6/10/2020,O,I,2,EQ,N,27,F
6/10/2020,I,I,1,NV,Y,132,F
6/10/2020,I,III,1,ES,N,28,F
6/10/2020,I,III,2,EO,Y,10,F
6/10/2020,O,V,1,NV,Y,47,F
6/10/2020,O,V,2,EQ,Y,14,F
6/18/2020,O,IV,1,NV,N,0,F
6/18/2020,I,III,1,EQ,Y,5,F
6/24/2020,O,II,1,NV,Y,60,F
6/24/2020,O,IV,1,NV,N,0,F
6/24/2020,I,II,1,NV,Y,0,F
6/24/2020,I,II,2,AA,N,40,F
6/24/2020,O,IV,1,EQ,Y,4,F
7/1/2020,I,I,1,NV,Y,49,F
7/1/2020,I,I,2,EO,Y,17,F
7/1/2020,I,II,1,NV,N,0,F
7/1/2020,I,II,2,EQ,Y,5,F
7/1/2020,I,V,1,NV,N,0,F
7/1/2020,I,V,2,EQ,Y,11,F
7/8/2020,I,I,1,NV,N,0,F
7/8/2020,I,II,1,EQ,N,0,F
7/8/2020,I,III,1,NV,Y,0,F
7/8/2020,I,IV,1,NV,Y,2,F
7/8/2020,I,IV,2,NV,N,0,F
7/8/2020,I,V,1,EQ,Y,3,F
7/8/2020,I,II,1,NV,N,0,F
7/8/2020,I,II,2,EQ,Y,14,F
7/15/2020,I,I,1,NV,N,0,F
7/15/2020,I,I,2,NV,N,0,F
7/15/2020,I,II,1,NV,N,0,F
7/15/2020,I,III,1,NV,N,0,F
7/15/2020,I,V,1,NV,N,0,F
7/15/2020,I,V,2,EQ,Y,9,F
7/15/2020,I,III,1,NV,N,0,F
7/15/2020,I,IV,1,NV,N,0,F
7/15/2020,I,IV,2,NV,N,0,F
6/3/2020,O,III,1,ES,N,9,F
6/3/2020,O,V,1,NV,Y,44,F
6/3/2020,O,IV,1,ES,N,14,F
6/10/2020,O,IV,1,NV,Y,26,F
6/10/2020,I,III,1,NV,Y,5,F
6/10/2020,I,V,1,EO,Y,6,F
6/10/2020,O,I,1,ES,Y,17,F
6/10/2020,O,II,1,NV,Y,56,F
6/10/2020,O,II,2,EQ,Y,26,F
6/10/2020,O,IV,1,EQ,N,13,F
6/18/2020,O,IV,1,EQ,Y,12,F
6/24/2020,I,III,1,NV,N,0,F
6/24/2020,I,IV,1,ES,N,14,F
6/24/2020,I,V,1,NV,Y,16,F
6/24/2020,I,III,1,EQ,Y,19,F
7/1/2020,I,II,1,NV,Y,13,F
7/1/2020,I,II,2,NV,N,55,F
7/1/2020,I,IV,1,EQ,Y,11,F
7/1/2020,I,V,1,EQ,Y,26,F
7/8/2020,I,III,1,NV,N,0,F
7/8/2020,I,V,1,ES,N,26,F
7/8/2020,I,II,1,NV,N,1,F
7/8/2020,I,II,2,NV,N,0,F
7/8/2020,I,III,1,NV,N,0,F
7/8/2020,I,V,1,NV,N,0,F
7/15/2020,I,I,1,ES,N,0,F
7/15/2020,I,II,1,NV,Y,104,F
7/15/2020,I,II,2,NV,N,0,F
7/15/2020,I,IV,1,NV,N,0,F
7/15/2020,I,IV,2,NV,Y,82,F
7/15/2020,I,IV,1,NV,N,0,F
6/3/2020,O,II,,NV,,,M
6/10/2020,O,II,,NV,,,M
6/10/2020,O,IV,,NV,,,M
6/10/2020,O,V,,NV,,,M
6/10/2020,O,V,,NV,,,M
6/10/2020,O,IV,,NV,,,M
6/10/2020,O,IV,,NV,,,M
6/10/2020,O,II,,NV,,,M
6/24/2020,O,V,,NV,,,M
6/24/2020,I,V,,NV,,,M
7/1/2020,I,I,,NV,,,M
7/1/2020,I,II,,NV,,,M
7/1/2020,I,II,,NV,,,M
7/1/2020,I,III,,NV,,,M
7/1/2020,I,II,,NV,,,M
7/1/2020,I,V,,NV,,,M
7/8/2020,I,I,,NV,,,M
7/8/2020,I,IV,,NV,,,M
7/8/2020,I,IV,,NV,,,M
7/8/2020,I,V,,NV,,,M
7/8/2020,I,V,,NV,,,M
7/8/2020,I,III,,NV,,,M
7/8/2020,I,V,,NV,,,M
7/15/2020,I,I,,NV,,,M
7/15/2020,I,II,,NV,,,M
7/15/2020,I,III,,NV,,,M
7/15/2020,I,IV,,NV,,,M
7/15/2020,I,IV,,NV,,,M
7/15/2020,I,V,,NV,,,M
7/15/2020,I,V,,NV,,,M
7/15/2020,I,I,,NV,,,M
7/15/2020,I,IV,,NV,,,M
7/15/2020,I,V,,NV,,,M
7/15/2020,I,III,,NV,,,M
7/15/2020,I,IV,,NV,,,M
7/15/2020,I,IV,,NV,,,M
7/15/2020,I,I,,NV,,,M
7/15/2020,I,III,,NV,,,M
