week,year,condition,row,count,crop
1,2019,sorghum,1,2,sorghum
1,2019,sorghum,2,0,sorghum
1,2019,sorghum,3,2,sorghum
1,2019,sorghum,4,2,sorghum
1,2019,tomsorg,5,3,tomato
1,2019,tomsorg,8,0,tomato
1,2019,tomsorg,9,2,tomato
1,2019,tomsorg,12,1,tomato
1,2019,tomato,5,14,tomato
1,2019,tomato,8,9,tomato
1,2019,tomato,9,7,tomato
1,2019,tomato,12,3,tomato
2,2019,sorghum,1,4,sorghum
2,2019,sorghum,2,6,sorghum
2,2019,sorghum,3,6,sorghum
2,2019,sorghum,4,3,sorghum
2,2019,tomsorg,5,3,tomato
2,2019,tomsorg,8,6,tomato
2,2019,tomsorg,9,9,tomato
2,2019,tomsorg,12,5,tomato
2,2019,tomato,5,19,tomato
2,2019,tomato,8,10,tomato
2,2019,tomato,9,6,tomato
2,2019,tomato,12,1,tomato
3,2019,sorghum,1,2,sorghum
3,2019,sorghum,2,4,sorghum
3,2019,sorghum,3,7,sorghum
3,2019,sorghum,4,0,sorghum
3,2019,tomsorg,5,4,tomato
3,2019,tomsorg,8,6,tomato
3,2019,tomsorg,9,11,tomato
3,2019,tomsorg,12,9,tomato
3,2019,tomato,5,11,tomato
3,2019,tomato,8,2,tomato
3,2019,tomato,9,2,tomato
3,2019,tomato,12,11,tomato
4,2019,sorghum,1,0,sorghum
4,2019,sorghum,2,1,sorghum
4,2019,sorghum,3,23,sorghum
4,2019,sorghum,4,7,sorghum
4,2019,tomsorg,5,21,tomato
4,2019,tomsorg,8,7,tomato
4,2019,tomsorg,9,8,tomato
4,2019,tomsorg,12,7,tomato
4,2019,tomato,5,11,tomato
4,2019,tomato,8,6,tomato
4,2019,tomato,9,8,tomato
4,2019,tomato,12,2,tomato
5,2019,sorghum,1,11,sorghum
5,2019,sorghum,2,36,sorghum
5,2019,sorghum,3,13,sorghum
5,2019,sorghum,4,20,sorghum
5,2019,tomsorg,5,11,tomato
5,2019,tomsorg,8,12,tomato
5,2019,tomsorg,9,2,tomato
5,2019,tomsorg,12,10,tomato
5,2019,tomato,5,19,tomato
5,2019,tomato,8,12,tomato
5,2019,tomato,9,8,tomato
5,2019,tomato,12,9,tomato
6,2019,sorghum,1,29,sorghum
6,2019,sorghum,2,66,sorghum
6,2019,sorghum,3,12,sorghum
6,2019,sorghum,4,32,sorghum
6,2019,tomsorg,5,16,tomato
6,2019,tomsorg,8,8,tomato
6,2019,tomsorg,9,4,tomato
6,2019,tomsorg,12,20,tomato
6,2019,tomato,5,11,tomato
6,2019,tomato,8,8,tomato
6,2019,tomato,9,8,tomato
6,2019,tomato,12,11,tomato
7,2019,sorghum,1,0,sorghum
7,2019,sorghum,2,9,sorghum
7,2019,sorghum,3,13,sorghum
7,2019,sorghum,4,18,sorghum
7,2019,tomsorg,5,5,tomato
7,2019,tomsorg,8,5,tomato
7,2019,tomsorg,9,8,tomato
7,2019,tomsorg,12,7,tomato
7,2019,tomato,5,7,tomato
7,2019,tomato,8,5,tomato
7,2019,tomato,9,5,tomato
7,2019,tomato,12,2,tomato
1,2020,sorghum,2,9,sorghum
1,2020,sorghum,7,13,sorghum
1,2020,tomsorg,1,1,tomato
1,2020,tomsorg,8,1,tomato
1,2020,tomato,1,2,tomato
1,2020,tomato,8,1,tomato
2,2020,sorghum,2,5,sorghum
2,2020,sorghum,7,6,sorghum
2,2020,tomsorg,1,2,tomato
2,2020,tomsorg,4,0,tomato
2,2020,tomsorg,5,4,tomato
2,2020,tomsorg,8,8,tomato
2,2020,tomato,1,3,tomato
2,2020,tomato,4,0,tomato
2,2020,tomato,5,1,tomato
2,2020,tomato,8,5,tomato
3,2020,sorghum,4,13,sorghum
3,2020,sorghum,5,9,sorghum
3,2020,tomsorg,1,1,tomato
3,2020,tomsorg,4,3,tomato
3,2020,tomsorg,5,0,tomato
3,2020,tomsorg,8,0,tomato
3,2020,tomato,1,1,tomato
3,2020,tomato,4,0,tomato
3,2020,tomato,5,0,tomato
3,2020,tomato,8,0,tomato
4,2020,sorghum,4,8,sorghum
4,2020,sorghum,5,4,sorghum
4,2020,tomsorg,1,2,tomato
4,2020,tomsorg,4,0,tomato
4,2020,tomsorg,5,1,tomato
4,2020,tomsorg,8,3,tomato
4,2020,tomato,1,0,tomato
4,2020,tomato,4,4,tomato
4,2020,tomato,5,1,tomato
4,2020,tomato,8,0,tomato
5,2020,tomsorg,4,10,tomato
5,2020,tomsorg,5,0,tomato
5,2020,tomato,4,4,tomato
5,2020,tomato,5,2,tomato
6,2020,tomsorg,4,6,tomato
6,2020,tomsorg,5,7,tomato
6,2020,tomato,4,3,tomato
6,2020,tomato,5,8,tomato
7,2020,tomsorg,4,18,tomato
7,2020,tomsorg,5,6,tomato
7,2020,tomato,4,10,tomato
7,2020,tomato,5,3,tomato
