"","Date","Year","Crop","mean_count"
"1",2019-06-05,"2019","Tomato-Sorghum",22.5
"2",2019-06-05,"2019","Tomato+Sorghum",19.25
"3",2019-06-14,"2019","Tomato-Sorghum",25
"4",2019-06-14,"2019","Tomato+Sorghum",30.25
"5",2019-06-20,"2019","Tomato-Sorghum",24.75
"6",2019-06-20,"2019","Tomato+Sorghum",35
"7",2019-06-26,"2019","Tomato-Sorghum",12.25
"8",2019-06-26,"2019","Tomato+Sorghum",16.75
"9",2019-07-03,"2019","Tomato-Sorghum",9.75
"10",2019-07-03,"2019","Tomato+Sorghum",11.5
"11",2019-07-10,"2019","Tomato-Sorghum",4.75
"12",2019-07-10,"2019","Tomato+Sorghum",14.75
"13",2019-07-17,"2019","Tomato-Sorghum",3
"14",2019-07-17,"2019","Tomato+Sorghum",4
"15",2020-06-03,"2020","Tomato-Sorghum",22
"16",2020-06-03,"2020","Tomato+Sorghum",68
"17",2020-06-10,"2020","Tomato-Sorghum",39.5
"18",2020-06-10,"2020","Tomato+Sorghum",72
"19",2020-06-18,"2020","Tomato-Sorghum",110
"20",2020-06-18,"2020","Tomato+Sorghum",103
"21",2020-06-24,"2020","Tomato-Sorghum",80.5
"22",2020-06-24,"2020","Tomato+Sorghum",88.5
"23",2020-07-01,"2020","Tomato-Sorghum",70
"24",2020-07-01,"2020","Tomato+Sorghum",49
"25",2020-07-08,"2020","Tomato-Sorghum",52
"26",2020-07-08,"2020","Tomato+Sorghum",52
"27",2020-07-15,"2020","Tomato-Sorghum",20
"28",2020-07-15,"2020","Tomato+Sorghum",86
