Date,Species,Treatment,Location,Crop,Count 
5/13/2020,NV,T,Sorghum,S,1
5/13/2020,EQ,T,Sorghum,S,0
5/13/2020,ES,T,Sorghum,S,0
5/13/2020,Adults total,T,Sorghum,S,1
5/13/2020,Nymphs,T,Sorghum,S,0
5/20/2020,NV,T,Sorghum,S,10
5/20/2020,EQ,T,Sorghum,S,0
5/20/2020,ES,T,Sorghum,S,4
5/20/2020,Adults total,T,Sorghum,S,14
5/20/2020,Nymphs,T,Sorghum,S,0
5/27/2020,NV,T,Sorghum,S,71
5/27/2020,EQ,T,Sorghum,S,0
5/27/2020,ES,T,Sorghum,S,5
5/27/2020,Adults total,T,Sorghum,S,76
5/27/2020,Nymphs,T,Sorghum,S,2
6/3/2020,NV,T,Sorghum,S,19
6/3/2020,EQ,T,Sorghum,S,0
6/3/2020,ES,T,Sorghum,S,3
6/3/2020,Adults total,T,Sorghum,S,22
6/3/2020,Nymphs,T,Sorghum,S,0
6/10/2020,NV,T,Sorghum,S,8
6/10/2020,EQ,T,Sorghum,S,1
6/10/2020,ES,T,Sorghum,S,2
6/10/2020,Adults total,T,Sorghum,S,11
6/10/2020,Nymphs,T,Sorghum,S,2
6/18/2020,NV,T,Sorghum,S,21
6/18/2020,EQ,T,Sorghum,S,0
6/18/2020,ES,T,Sorghum,S,1
6/18/2020,Adults total,T,Sorghum,S,22
6/18/2020,Nymphs,T,Sorghum,S,0
6/24/2020,NV,T,Sorghum,S,11
6/24/2020,EQ,T,Sorghum,S,0
6/24/2020,ES,T,Sorghum,S,1
6/24/2020,Adults total,T,Sorghum,S,12
6/24/2020,Nymphs,T,Sorghum,S,4
6/10/2020,NV,C,Inner,T,1
6/10/2020,EQ,C,Inner,T,0
6/10/2020,ES,C,Inner,T,0
6/10/2020,Adults total,C,Inner,T,1
6/10/2020,Nymphs,C,Inner,T,73
6/18/2020,NV,C,Inner,T,0
6/18/2020,EQ,C,Inner,T,0
6/18/2020,ES,C,Inner,T,0
6/18/2020,Adults total,C,Inner,T,0
6/18/2020,Nymphs,C,Inner,T,75
6/24/2020,NV,C,Inner,T,3
6/24/2020,EQ,C,Inner,T,1
6/24/2020,ES,C,Inner,T,1
6/24/2020,Adults total,C,Inner,T,5
6/24/2020,Nymphs,C,Inner,T,59
7/1/2020,NV,C,Inner,T,4
7/1/2020,EQ,C,Inner,T,2
7/1/2020,ES,C,Inner,T,0
7/1/2020,Adults total,C,Inner,T,6
7/1/2020,Nymphs,C,Inner,T,70
7/8/2020,NV,C,Inner,T,8
7/8/2020,EQ,C,Inner,T,1
7/8/2020,ES,C,Inner,T,2
7/8/2020,Adults total,C,Inner,T,11
7/8/2020,Nymphs,C,Inner,T,52
7/15/2020,NV,C,Inner,T,10
7/15/2020,EQ,C,Inner,T,1
7/15/2020,ES,C,Inner,T,2
7/15/2020,Adults total,C,Inner,T,13
7/15/2020,Nymphs,C,Inner,T,20
6/10/2020,NV,T,Inner,TandS,1
6/10/2020,EQ,T,Inner,TandS,1
6/10/2020,ES,T,Inner,TandS,2
6/10/2020,Adults total,T,Inner,TandS,4
6/10/2020,Nymphs,T,Inner,TandS,86
6/18/2020,NV,T,Inner,TandS,0
6/18/2020,EQ,T,Inner,TandS,3
6/18/2020,ES,T,Inner,TandS,0
6/18/2020,Adults total,T,Inner,TandS,3
6/18/2020,Nymphs,T,Inner,TandS,153
6/24/2020,NV,T,Inner,TandS,1
6/24/2020,EQ,T,Inner,TandS,0
6/24/2020,ES,T,Inner,TandS,0
6/24/2020,Adults total,T,Inner,TandS,1
6/24/2020,Nymphs,T,Inner,TandS,128
7/1/2020,NV,T,Inner,TandS,7
7/1/2020,EQ,T,Inner,TandS,3
7/1/2020,ES,T,Inner,TandS,0
7/1/2020,Adults total,T,Inner,TandS,10
7/1/2020,Nymphs,T,Inner,TandS,49
7/8/2020,NV,T,Inner,TandS,8
7/8/2020,EQ,T,Inner,TandS,1
7/8/2020,ES,T,Inner,TandS,2
7/8/2020,Adults total,T,Inner,TandS,11
7/8/2020,Nymphs,T,Inner,TandS,52
7/15/2020,NV,T,Inner,TandS,18
7/15/2020,EQ,T,Inner,TandS,3
7/15/2020,ES,T,Inner,TandS,3
7/15/2020,Adults total,T,Inner,TandS,24
7/15/2020,Nymphs,T,Inner,TandS,86
6/3/2020,NV,C,Outer,T,1
6/3/2020,EQ,C,Outer,T,0
6/3/2020,ES,C,Outer,T,2
6/3/2020,Adults total,C,Outer,T,3
6/3/2020,Nymphs,C,Outer,T,22
6/10/2020,NV,C,Outer,T,5
6/10/2020,EQ,C,Outer,T,2
6/10/2020,ES,C,Outer,T,1
6/10/2020,Adults total,C,Outer,T,8
6/10/2020,Nymphs,C,Outer,T,6
6/18/2020,NV,C,Outer,T,0
6/18/2020,EQ,C,Outer,T,1
6/18/2020,ES,C,Outer,T,0
6/18/2020,Adults total,C,Outer,T,1
6/18/2020,Nymphs,C,Outer,T,145
6/24/2020,NV,C,Outer,T,0
6/24/2020,EQ,C,Outer,T,0
6/24/2020,ES,C,Outer,T,0
6/24/2020,Adults total,C,Outer,T,0
6/24/2020,Nymphs,C,Outer,T,102
6/3/2020,NV,T,Outer,TandS,1
6/3/2020,EQ,T,Outer,TandS,1
6/3/2020,ES,T,Outer,TandS,0
6/3/2020,Adults total,T,Outer,TandS,2
6/3/2020,Nymphs,T,Outer,TandS,68
6/10/2020,NV,T,Outer,TandS,6
6/10/2020,EQ,T,Outer,TandS,4
6/10/2020,ES,T,Outer,TandS,0
6/10/2020,Adults total,T,Outer,TandS,10
6/10/2020,Nymphs,T,Outer,TandS,58
6/18/2020,NV,T,Outer,TandS,1
6/18/2020,EQ,T,Outer,TandS,0
6/18/2020,ES,T,Outer,TandS,0
6/18/2020,Adults total,T,Outer,TandS,1
6/18/2020,Nymphs,T,Outer,TandS,53
6/24/2020,NV,T,Outer,TandS,3
6/24/2020,EQ,T,Outer,TandS,2
6/24/2020,ES,T,Outer,TandS,0
6/24/2020,Adults total,T,Outer,TandS,5
6/24/2020,Nymphs,T,Outer,TandS,49
